id,uuid,name_arabic,name_english,price_amount,price_unit,image_url,product_url,is_active,store_id,category,pinecone_id,file_id,time_created,time_updated,detection,dimension_unit,length,width,product_color,two_d_icon,height,three_d_model,main_color,secondary_colors,styles,salla_product_id,room_types,style_tags,commerce_category,commerce_subcategory,seating_capacity
173547,aa8c8e73-dd1a-41d5-be31-25211479d09d,م Armchair Mika Cream,Armchair Mika Cream,2950.00,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/armchair-mika-cream-1.jpg,https://cityw.com.sa/product/armchair-mika-cream/,true,50,chair,730385852519,227,9/15/26,9/15/26,true,cm,81.00,115.00,,,104.50,,Beige,,"Boho, Minimalist",,,,seating,chair,
173569,5826b762-3445-4934-87ee-cb7b758f5b65,كرسي صوفا بوكل - عاج دافئ,Boucle Sofa Chair - Warm Ivory,1160.00,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/boucl-sofa-chair-warm-ivory-1.jpg,https://cityw.com.sa/product/fabric-sofa-chair-warm-ivory/,true,50,chair,720857869586,227,9/15/26,9/15/26,false,cm,95.00,89.00,,,78.00,,Ivory,,"Modern, Minimalist",,,,seating,single-seater-sofa,
173592,bf3496e2-9b7b-43fb-87d5-e1f250a94673,كرسي مميز من القماش - أخضر موس,Fabric Accent Chair - Moss Green,1950.00,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/fabric-accent-chair-moss-green-1.jpg,https://cityw.com.sa/product/fabric-accent-chair-moss-green/,true,50,chair,527635927556,227,9/15/26,9/15/26,true,cm,79.00,89.00,,,81.00,,Olive,,"Modern, Boho",,,,seating,chair,
173593,f89659c0-acda-44eb-a5f3-9c88d4ab6702,كرسي ذراع من القماش - أزرق فولاذي,Fabric Arm Chair - Steel Blue,990.00,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/fabric-arm-chair-steel-blue-1.jpg,https://cityw.com.sa/product/fabric-arm-chair-steel-blue/,true,50,chair,403519300285,227,9/15/26,9/15/26,true,cm,96.00,96.00,,,84.00,,Denim Blue,,"Modern, Minimalist",,,,seating,chair,
173605,d8e8a973-2a0a-4bb4-8c8a-53c48a21e3b6,كرسي صوفا قماش - أزرق دنيم,Fabric Sofa Chair - Denim Blue,1290.00,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/fabric-sofa-chair-denim-blue-1.jpg,https://cityw.com.sa/product/fabric-sofa-chair-denim-blue/,true,50,chair,668159379648,227,9/15/26,9/15/26,true,cm,99.00,102.00,,,97.00,,Denim Blue,,"Modern, Scandinavian",,,,seating,single-seater-sofa,
173606,3bb4ed1d-c365-42df-80a8-6313c5dbc7c0,كرسي صوفا قماش - رمادي داكن,Fabric Sofa Chair - Dark Grey,1290.00,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/fabric-sofa-chair-dark-grey-1.jpg,https://cityw.com.sa/product/fabric-sofa-chair-dark-grey/,true,50,chair,585074898195,227,9/15/26,9/15/26,true,cm,117.00,104.00,,,102.00,,Charcoal,,"Modern, Minimalist",,,,seating,single-seater-sofa,
173607,d4838219-160e-4f60-b44f-534b34f30e6e,كرسي صوفا قماشي - رمادي فحمي,Fabric Sofa Chair - Charcoal Grey,700.00,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/fabric-sofa-chair-charcoal-grey-2.jpg,https://cityw.com.sa/product/fabric-sofa-chair-slate-grey/,true,50,chair,540686207928,227,9/15/26,9/15/26,true,cm,95.00,83.00,,,87.00,,Grey,,"Modern, Minimalist",,,,seating,single-seater-sofa,
173608,7105645c-a4aa-45b7-87aa-9f95cd28714f,كرسي Sofا من القماش - رمادي فاتح,Fabric Sofa Chair - Light Grey,990.00,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/fabric-sofa-chair-light-grey-1.jpg,https://cityw.com.sa/product/fabric-sofa-chair-light-grey/,true,50,chair,911995677556,227,9/15/26,9/15/26,false,cm,130.00,102.00,,,99.00,,Beige,,Modern_Classic,,,,seating,single-seater-sofa,
173609,738c1474-647d-4144-89fb-ab3c875bda18,كرسي صوفا قماشي - رمادي فاتح,Fabric Sofa Chair - Ash Grey,990.00,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/fabric-sofa-chair-ash-grey-1.jpg,https://cityw.com.sa/product/fabric-sofa-chair-ash-grey/,true,50,chair,705864036313,227,9/15/26,9/15/26,true,cm,90.00,87.00,,,71.00,,Grey,,"Modern, Contemporary",,,,seating,single-seater-sofa,
173611,8bf05a51-ed12-4692-89aa-216d42ee8e52,أريكة قماشية - رمادي فاتح وأبيض,Fabric Sofa Chair - Light Grey & White,850.00,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/54-30-00327-2-scaled.jpg,https://cityw.com.sa/product/fabric-sofa-chair-light-grey-and-white/,true,50,chair,669619279807,227,9/15/26,9/15/26,true,cm,82.00,91.00,,,106.00,,Light Grey,,Modern_Classic,,,,seating,single-seater-sofa,
173612,2473f178-5458-4f93-886b-770ac20ff4f3,كرسي صوفا قماش - رمادي دافئ,Fabric Sofa Chair - Warm Grey,1950.00,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/fabric-sofa-chair-warm-grey-1.jpg,https://cityw.com.sa/product/fabric-sofa-chair-warm-grey/,true,50,chair,713037260905,227,9/15/26,9/15/26,false,cm,101.00,94.00,,,73.00,,Light Grey,,"Modern, Minimalist",,,,seating,single-seater-sofa,
173613,2fd0b40b-66ee-4352-844d-286b7fb1428b,كرسي صوفا قماش - أزرق فولاذي,Fabric Sofa Chair - Steel Blue,990.00,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/fabric-sofa-chair-steel-blue-1.jpg,https://cityw.com.sa/product/fabric-sofa-chair-steel-blue/,true,50,chair,708493983874,227,9/15/26,9/15/26,true,cm,82.00,91.00,,,91.00,,Light Grey,,"Modern, Minimalist",,,,seating,single-seater-sofa,
173619,c6cf968e-37d0-4e9f-a72f-2b4f664a7467,كرسي صوفا قماش - شوفان دافئ,Fabric Sofa Chair - Warm Oatmeal,990.00,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/fabric-sofa-chair-warm-oatmeal-1.jpg,https://cityw.com.sa/product/fabric-sofa-chair-warm-oatmeal/,true,50,chair,097919049451,227,9/15/26,9/15/26,false,cm,111.00,91.00,,,75.00,,Greige,,"Modern, Minimalist",,,,seating,single-seater-sofa,
173656,bb5dde4c-432e-457f-aa42-6518c490a288,كرسي أريكة قماش نابولي - رمادي دافئ,Napoli Fabric Sofa Chair - Warm Grey,650.00,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/54-30-00325-3.jpg,https://cityw.com.sa/product/napoli-fabric-sofa-chair-warm-grey/,true,50,chair,770613231800,227,9/15/26,9/15/26,false,cm,88.00,94.00,,,94.00,,Light Grey,,"Modern, Minimalist",,,,seating,single-seater-sofa,
173665,0b5ad541-3d02-4003-aff4-730242bbac85,كرسي استدارة جانّو بني,Swivel Armchair Janno Brown,4710.00,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/swivel-armchair-janno-brown-1.jpg,https://cityw.com.sa/product/swivel-armchair-janno-brown/,true,50,chair,264674081637,227,9/15/26,9/15/26,false,cm,68.00,95.00,,,88.00,,Taupe,,"Modern, Mid_Century",,,,seating,chair,
173669,355295d7-c644-4b04-8ebc-667141e25907,كرسي أريكة قماش قاسي - بيج,Textured Fabric Sofa Chair - Beige,1940.00,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/textured-fabric-sofa-chair-beige-1.jpg,https://cityw.com.sa/product/fabric-sofa-chair-warm-beige/,true,50,chair,245225732324,227,9/15/26,9/15/26,true,cm,74.00,66.00,,,70.00,,Beige,,"Modern, Minimalist",,,,seating,single-seater-sofa,
173682,d5cdccd9-3a7d-4279-ac04-0b1558f4faa9,2 Seater Fabric Sofa - Warm Oatmeal,2 Seater Fabric Sofa - Warm Oatmeal,3950.00,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/2-seater-fabric-sofa-warm-oatmeal-1.jpg,https://cityw.com.sa/product/2-seater-fabric-sofa-warm-oatmeal/,true,50,3-seater-sofa,519961044345,227,9/15/26,9/15/26,true,cm,117.00,97.00,,2D_icons/cityw/3-seater-sofa-165798.svg,76.00,Tencent_3D_models/cityw/3-seater-sofa-173682.glb,Beige,,"Modern, Minimalist",,,,seating,sofa,2
173711,31148118-c910-4624-b920-01aa821c017b,3 Seater Fabric Sofa - Pearl,3 Seater Fabric Sofa - Pearl,2710.00,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/3-seater-fabric-sofa-pearl-1.jpg,https://cityw.com.sa/product/3-seater-fabric-sofa-pearl/,true,50,3-seater-sofa,034038376917,227,9/15/26,9/15/26,true,cm,216.00,97.00,,,102.00,,Light Grey,,"Modern, Minimalist",,,,seating,sofa,3
173723,769ff68c-137f-44f7-ac73-4b7a4eb8864b,3 Seater Fabric Sofa - Warm Taupe,3 Seater Fabric Sofa - Warm Taupe,3050.00,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/3-seater-fabric-sofa-warm-taupe-1-1.jpg,https://cityw.com.sa/product/3-seater-chenille-fabric-sofa-warm-oatmeal/,true,50,3-seater-sofa,128164236411,227,9/15/26,9/15/26,false,cm,230.00,101.00,,,69.00,,Beige,,"Modern, Minimalist",,,,seating,sofa,3
173754,291b1bcb-f1b3-420a-b70b-32e0611b0334,Recamiere Wonder 250cm,Recamiere Wonder 250cm,5950.00,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/recamiere-wonder-250cm-1.jpg,https://cityw.com.sa/product/recamiere-wonder-250cm/,true,50,3-seater-sofa,405444474532,227,9/15/26,9/15/26,false,cm,66.00,252.00,,,108.00,,Beige,,"Minimalist, Scandinavian",,,,seating,chaise-lounge,3
173768,dee51932-cd89-4b7d-a07c-b3f1f93708dc,2 سرير قماش مقعد مزدوج - بيج,2 Seater Fabric Loveseat - Beige,1570.00,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/2-seater-fabric-loveseat-beige-1-1.jpg,https://cityw.com.sa/product/2-seater-fabric-loveseat-beige/,true,50,2-seater-sofa,802968316336,227,9/15/26,9/15/26,true,cm,180.00,88.00,,,86.00,,Beige,,"Modern, Minimalist",,,,seating,sofa,2
173774,61393743-8a30-48bb-89b1-0a2441d39ec6,2 مقعد أريكة قماش - لؤلؤي,2 Seater Fabric Loveseat - Pearl,2260.00,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/2-seater-fabric-loveseat-pearl-1.jpg,https://cityw.com.sa/product/2-seater-fabric-loveseat-pearl/,true,50,2-seater-sofa,407273851220,227,9/15/26,9/15/26,false,cm,158.00,97.00,,,102.00,,Light Grey,,"Modern, Minimalist",,,,seating,sofa,2
173776,4bf4d8f5-089a-4d12-9fd5-8a6e1716cf41,2 Seater Fabric Loveseat - Navy Blue,2 Seater Fabric Loveseat - Navy Blue,1710.00,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/2-seater-fabric-loveseat-navy-blue-1-1.jpg,https://cityw.com.sa/product/2-seater-fabric-loveseat-navy-blue/,true,50,2-seater-sofa,052431164234,227,9/15/26,9/15/26,true,cm,168.00,96.00,,,86.00,,Navy,,"Modern, Minimalist",,,,seating,sofa,2
173783,e76dfac5-3702-4771-9ca4-09dc2cf62f33,2 Seater Fabric Loveseat - Warm Grey,2 Seater Fabric Loveseat - Warm Grey,1570.00,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/2-seater-fabric-loveseat-warm-grey-1-3.jpg,https://cityw.com.sa/product/2-seater-fabric-loveseat-warm-grey/,true,50,2-seater-sofa,008073045251,227,9/15/26,9/15/26,true,cm,180.00,87.00,,,87.00,,Light Grey,,"Modern, Minimalist, Scandinavian",,,,seating,sofa,2
172808,191b1a10-112a-43cb-b59f-db7703d50b00,رف عرض مقوس تماثيلي - أبيض,Sculptural Arched Display Shelf - White,2950.00,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/sculptural-arched-display-shelf-white-1.jpg,https://cityw.com.sa/product/sculptural-arched-display-shelf-white/,true,50,shelve,034590028259,227,9/15/26,9/15/26,false,cm,90.00,38.00,,,180.00,,White,,"Minimalist, Scandinavian",,,,storage,shelve,
172813,bc83ff9c-b674-4207-b74b-7e99e6c688a5,8-Cube Wood-Look Bookcase - White Maple,8-Cube Wood-Look Bookcase - White Maple,330.00,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/8-cube-wood-look-bookcase-white-maple-1-1.jpg,https://cityw.com.sa/product/8-cube-wood-look-bookcase-white-maple/,true,50,shelve,294301228169,227,9/15/26,9/15/26,true,cm,60.00,30.00,,,120.00,,White,,"Minimalist, Scandinavian",,,,storage,shelve,
172815,27446615-e839-4863-b436-65737a8294d6,رف عرض بتشطيب فولاذي وبلوط - أسود,Steel & Oak-Finish Display Shelf - Black,3090.00,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/steel-oak-finish-display-shelf-black-2.jpg,https://cityw.com.sa/product/steel-and-oak-finish-display-shelf-black/,true,50,shelve,172385218003,227,9/15/26,9/15/26,true,cm,180.00,45.00,,,183.00,,Black,,"Modern, Minimalist",,,,storage,shelve,
173144,d02e40fe-a74a-4aa4-890e-2245ab8efd15,فنون السجاد ١٧٠×٢٤٠ سم,Carpet Art Faces 170x240cm,2550.00,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/carpet-art-faces-170x240cm-1.jpg,https://cityw.com.sa/product/carpet-art-faces-170x240cm/,true,50,carpet,394926539436,227,9/15/26,9/15/26,false,cm,170.00,240.00,,,,,Black,,"Modern, Minimalist",,,,decor,carpet,
173149,20fb4063-675b-4f75-9e3d-4d83110261e4,سجادة مريحة المحيط 170x240 سم,Carpet Cosy Ocean 170x240cm,1930.00,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/carpet-cosy-ocean-170x240cm-1.jpg,https://cityw.com.sa/product/carpet-cosy-ocean-170x240cm/,true,50,carpet,991345294901,227,9/15/26,9/15/26,false,cm,1.50,170.00,,,240.00,,Teal,,"Modern, Minimalist",,,,decor,carpet,
173270,fb48a4e3-31de-4f42-be93-fe042715bf9e,مزهرية معدنية مجعدة - أزرق كوبالت,Curly Metal Vase - Cobalt Blue,220.00,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/curly-metal-vase-cobalt-blue-1.jpg,https://cityw.com.sa/product/curly-metal-vase-cobalt-blue/,true,50,vase,776199324986,227,9/15/26,9/15/26,false,cm,,,,,53.00,,Denim Blue,,"Modern, Minimalist",,,,decor,vase,
173283,8594e0de-f8e2-4ed9-82a9-6016a354ddec,vase الزجاجي 45 سم - أحمر روبي,Glass Vase 45cm - Ruby Red,530.00,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/glass-vase-45cm-ruby-red-1.jpg,https://cityw.com.sa/product/glass-vase-45cm-ruby-red/,true,50,vase,407464335647,227,9/15/26,9/15/26,true,cm,,,,,45.00,,Ruby,,"Modern, Minimalist",,,,decor,vase,
173294,5ba47429-2f09-4ccf-a9c0-104a6ba053cb,إناء زجاجي طويل - أخضر,Tall Glass Bottle Vase - Green,500.00,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/tall-glass-bottle-vase-green-1.jpg,https://cityw.com.sa/product/tall-glass-bottle-vase-green/,true,50,vase,431530740576,227,9/15/26,9/15/26,false,cm,,,,,75.00,,Sage,,"Minimalist, Boho",,,,decor,vase,
173299,1dc66e90-588f-44fa-8a6e-a5bd90808b59,فازة بارفلاي خضراء 30 سم,Vase Barfly Green 30cm,220.00,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/vase-barfly-green-30cm-1.jpg,https://cityw.com.sa/product/barfly-30cm-fluted-glass-vase-green-and-brass/,true,50,vase,654780344178,227,9/15/26,9/15/26,false,cm,30.00,15.00,,,15.00,,Sage,,"Modern, Minimalist",,,,decor,vase,
