name_english,price_amount,price_unit,image_url,product_url,dimension_unit,length,width,height,category,category_original,id,uuid,is_active,store_id,time_updated,name_arabic,product_color,source_sheet,main_color,styles
Carved Wood Disc Sculpture on Metal Stand - Antiqued Brown,550,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/carved-wood-disc-sculpture-on-metal-stand-antiqued-brown-1.jpg,https://cityw.com.sa/product/carved-wood-disc-sculpture-on-metal-stand-antiqued-brown/,cm,30,10,41,statue-and-antique,Antique & Accents,832331821,aebd791c-d6e9-5f18-bcd2-32384c02fb39,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Espresso,"Rustic_Modern, Minimalist"
Geometric Metal Sculpture on Black Base - Gold & Black,480,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/geometric-metal-sculpture-on-black-base-gold-black-2.jpg,https://cityw.com.sa/product/geometric-metal-sculpture-on-black-base-gold-and-black/,,,,,statue-and-antique,Antique & Accents,2062365276,0f0ec410-d7c2-53ab-a25a-795ed9ab2ed7,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Gold,"Modern, Minimalist"
Lioness Animal Statuary Polyresin Ornament - Gold,2850,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/lioness-animal-statuary-resin-figurine-gold-4.jpg,https://cityw.com.sa/product/deco-figurine-lion-gold-113cm/,cm,113,58,40,statue-and-antique,Antique & Accents,2056483859,e7fe8d43-3b17-5e20-a74d-52121286ae8e,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Gold,"Modern, Classy"
Resin Flower Girl Display Figurine with Parrot - Multicolour,240,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/resin-flower-girl-display-figurine-with-parrot-multicolour-1.jpg,https://cityw.com.sa/product/resin-flower-girl-display-figurine-with-parrot-multicolour/,cm,,,28,statue-and-antique,Antique & Accents,1132568867,d2121efe-0479-5d07-b901-909983bb9850,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,White,"Boho, Tropical"
Shell Sculpture on Glass Stand - Ivory White,400,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/shell-sculpture-on-glass-stand-ivory-white-1.jpg,https://cityw.com.sa/product/shell-sculpture-on-glass-stand-ivory-white/,cm,17,13,37,statue-and-antique,Antique & Accents,1723696901,2e9e5df3-e4c4-5f85-84ad-1d056c647123,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,White,"Modern, Minimalist"
Spiral Ring Metal Figurine Ornament 50cm - Black,450,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/spiral-ring-metal-figurine-ornament-50cm-black-1.jpg,https://cityw.com.sa/product/spiral-ring-metal-figurine-ornament-50cm-black/,cm,47,10,50,statue-and-antique,Antique & Accents,91939678,cc49f8cb-a881-5e1f-8272-1eebf0d8de34,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Black,"Modern, Minimalist"
2-Door Bookcase with Glass Shelves - White & Oak,1250,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/2-door-bookcase-with-glass-shelves-white-oak-1.jpg,https://cityw.com.sa/product/2-door-bookcase-with-glass-shelves-white-and-oak/,,,,,shelve,Bookshelves,104294274,172f5510-73d3-5b8d-a9fc-f670750d982b,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,White,"Modern, Minimalist"
5-Shelf Metal Bookshelf with Glass Shelves - Gold,3150,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/5-shelf-metal-bookshelf-with-glass-shelves-gold-1.jpg,https://cityw.com.sa/product/5-shelf-metal-bookshelf-with-glass-shelves-gold/,cm,82,37,184,shelve,Bookshelves,1681916935,3565bf21-9ca4-5264-8350-bf1cae82484f,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Brass,"Modern, Minimalist"
5-Tier Marble-Look Open Shelving Unit - Grey & Black,2850,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/5-tier-marble-look-open-shelving-unit-grey-black-3.jpg,https://cityw.com.sa/product/shelf-okinawa-120x180cm/,cm,120,30,180,shelve,Bookshelves,274745616,33333af8-391b-5ea9-a659-632ce2338cdf,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Grey,"Modern, Minimalist"
8-Cube Wood-Look Bookcase - White Maple,330,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/8-cube-wood-look-bookcase-white-maple-1-1.jpg,https://cityw.com.sa/product/8-cube-wood-look-bookcase-white-maple/,cm,60,30,120,shelve,Bookshelves,463987586,cd09771f-26be-5efa-962a-41108e939b41,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,White,"Minimalist, Scandinavian"
Curved Wood Display Shelf - Black,3950,SAR,https://cityw.com.sa/wp-content/uploads/2026/08/curved-wood-display-shelf-black-2.jpg,https://cityw.com.sa/product/curved-wood-display-shelf-black/,cm,90,88,180,shelve,Bookshelves,421188010,0fa98801-a48b-5ccd-aaea-5eff4948286a,true,50,2026-09-12T10:12:59.821523+00:00,,,catalog_cityw_part1_prepared,Black,"Modern, Minimalist"
